MFO;SNAME;NAME;IKOD;ADRESS;TELEFON
300001;"""НАЦІОНАЛЬНИЙ БАНК""";ОПЕРАЦІЙНЕ УПРАВЛІННЯ НБУ, М.КИЇВ;00032106;м.Київ вул. Інститутська, 9;293-01-80 293-16-98
300012;"ПАТ ""Промінвестбанк""";"ПАТ ""Промінвестбанк""";00039002;м.Київ провулок Шевченка, 12;
300023;"ПАТ ""УКРСОЦБАНК""";"ПАТ ""УКРСОЦБАНК""";00039019;м.Київ вул. Ковпака, 29;
300056;"ПАТ ""Легбанк""";"ПАТ ""Легбанк""";14291780;м.Київ вул. Жилянська, 27;2204464
300119;"ПАТ ""Банк Альянс""";"ПАТ ""Банк Альянс""";14360506;м.Київ проспект Московський, буд.8, корпус 16-А;4124285
300120;"""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА""";"""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА""";22906155;м.Київ вулиця Велика Житомирська, 20;
300131;"АТ""Банк""Фінанси та Кредит""";"АТ""Банк""Фінанси та Кредит""";09807856;м.Київ вул. АртемаВ 60;490-68-70
300142;"ПАТ ""УКРІНБАНК""";"ПАТ ""УКРІНБАНК""";05839888;м.Київ вул. Смирнова-Ласточкіна, буд.10-А;2207567,2207740
300164;"АТ ""Сведбанк"" (публічне)";"АТ ""Сведбанк"" (публічне)";19356840;м.Київ вул. Новокостянтинівська, буд.18 (ЛІТЕРА В);
300175;"ПУАТ ""ФІДОБАНК""";"ПУАТ ""ФІДОБАНК""";14351016;м.Київ вул. Червоноармійська,10;
300205;"ПАТ ""УПБ""";"ПАТ ""УПБ""";19019775;м.Київ вул. М.Раскової, 15;
300216;"ПАТ КБ ""ІНТЕРБАНК""";"ПАТ КБ ""ІНТЕРБАНК""";14358604;м.Київ вул. Вадима Гетьмана, буд.27;
300238;"ФАТ""БАНК ЗОЛОТІ ВОРОТА""КИЇВ";"ФІЛ. АТ  ""БАНК ЗОЛОТІ ВОРОТА"" В М.КИЇВ";25960155;м.Київ проспект Перемоги, 21А;2070480
300249;"АТ ""БРОКБІЗНЕСБАНК""";"АТ ""БРОКБІЗНЕСБАНК""";19357489;м.Київ проспект Перемоги, будинок 41;
300250;"Київська ФПАТ""Укрінбанк""";"КИЇВСЬКА ФПАТ""УКРІНБАНК"" М.КИЇВ";20064350;м.Київ вул. Тимошенка, 18;464-96-58
300272;"ПАТ ""ЕНЕРГОБАНК""";"ПАТ ""ЕНЕРГОБАНК""";19357762;м.Київ вул. Воздвиженська, 56;
300302;Центральне сховище НБУ;ЦЕНТРАЛЬНЕ СХОВИЩЕ НБУ;20077447;м.Київ вул. Пухівська, 7а;5309006
300335;"АТ ""Райффайзен Банк Аваль""";"АТ ""Райффайзен Банк Аваль""";14305909;м.Київ вулиця Лєскова, буд. 9;
300346;"ПАТ ""АЛЬФА-БАНК""";"ПАТ ""АЛЬФА-БАНК"" У М.КИЄВІ";23494714;м.Київ вулиця Десятинна, 4/6;4904627
300379;"ПАТ ""КІБ Креді Агріколь""";"ПАТ ""КІБ Креді Агріколь""";19357443;м.Київ вул. Володимирська, 23а;4901400
300380;ЦЕНТРАЛЬНА РП ПІБ, М.КИЇВ;ЦЕНТРАЛЬНА РП  ПІБ, М.КИЇВ;00039002;м.Київ вул.Малопідвальна, 8;2793563
300421;"""ВІДРОДЖЕННЯ""";"УКРАЇНСЬКИЙ  КБ ""ВІДРОДЖЕННЯ"" М.КИЇВ";21509662;м.Київ вул. Коцюбинського, 7-а;`Л`-30.07.1996
300465;"АТ ""ОЩАДБАНК""";"АТ ""ОЩАДБАНК""";00032129;м.Київ вул. Госпітальна,12г;044/ 265-31-50
300498;Банк Національні інвестиції;Банк Національні інвестиції;20017340;м.Київ вул. Володимирська, 54;
300506;"""Перший Інвестиційний Банк""";"ПАТ ""Перший Інвестиційний Банк""";26410155;м.Київ Московський проспект,6;
300528;"АТ ""ОТП Банк""";"АТ ""ОТП Банк""";21685166;м.Київ вул. Жилянська, 43;
300539;"ПАТ ""ІНГ Банк Україна""";"ПАТ ""ІНГ Банк Україна""";21684818;м.Київ вул. Спаська, 30-А;
300584;"ПАТ ""Сітібанк""";"ПАТ ""Сітібанк""";21685485;м.Київ вул. Димитрова, 16 -Г;
300614;"ПАТ ""КРЕДІ АГРІКОЛЬ БАНК""";"ПАТ ""КРЕДІ АГРІКОЛЬ БАНК""";14361575;м.Київ вул. Пушкінська, 42/4;
300647;"АБ ""КЛІРИНГОВИЙ ДІМ""";"АБ ""КЛІРИНГОВИЙ ДІМ""";21665382;м.Київ вул.Борисоглібська, буд.5,  літера А.;
300658;"АТ ""ПІРЕУС БАНК МКБ""";"АТ ""ПІРЕУС БАНК МКБ""";20034231;м.Київ вул. Іллінська, 8;2382991
300669;"ПАТ ""ПРАЙМ-БАНК""";"ПАТ ""ПРАЙМ-БАНК""";26051650;м.Київ вул.Михайлівська, 6-а (поштова адреса);
300670;"ПАТ ""КБ ""ХРЕЩАТИК""";"ПАТ ""КБ ""ХРЕЩАТИК""";19364259;м.Київ вул. Хрещатик 8-а;
300711;"ПЕЧЕРСЬКАФ.ПАТКБ""ПРИВАТБАНК";"ПЕЧЕРСЬКА Ф.ПАТ КБ""ПРИВАТБАНК"", М.КИЇВ";14360570;"м.Київ вул. Предславинська, 19; 49094, м. Дніпропетровськ";494-32-42, (092)305-
300744;"Ф.""УніКредит Банк"", м.Київ";"Філія ПАТ ""УніКредит Банк"" у м.Києві";36541276;м.Київ проспект Героїв Сталінграда, 24;585-89-85
300755;"Ф.АТ БАНКУ""МЕРКУРІЙ""в Києві";"ФІЛІЯ АТ БАНКУ ""МЕРКУРІЙ"" В М. КИЄВІ";26112831;м.Київ вул. Щекавицька, 7/10 літера А;462-59-64
300766;"філія АТ""ІМЕКСБАНК""ум.Києві";"філія АТ ""ІМЕКСБАНК"" у м. Києві";21705124;м.Київ вул. Леоніда Первомайського, 4;5854715
300788;"АТ ""БАНК ""ТАВРИКА""";"АТ ""БАНК ""ТАВРИКА""";19454139;м.Київ вул. Дмитрівська, 92-94;
300852;"ПАТ ""КБ ""АКТИВ - БАНК""";"ПАТ ""КБ ""АКТИВ - БАНК""";26253000;м.Київ вулиця Борисоглібська, 3;
300863;"ПАТ ""КРЕДИТПРОМБАНК""";"ПАТ ""КРЕДИТПРОМБАНК""";21666051;м.Київ бульвар Дружби народів, 38;2682533
300885;"АТ ""АРТЕМ-БАНК""";"АТ ""АРТЕМ-БАНК""";26253023;м.Київ вул.Артема, буд.103;2167093
300896;"АТ ""ТММ-Банк""";"АТ ""ТММ-Банк""";19193869;м.Київ вул.Панельна,5;
300904;"АТ ""Фортуна-банк""";"АТ ""Фортуна-банк""";26254732;м.Київ вул.Боричів Тік,35-В;
300926;"ПрАТ ""УФГ""";"ПрАТ ""УФГ"", КИЇВ";14285934;м.Київ вул.Саксаганського, 77;
300937;"Ф ""ЦРУ"" АТ""Б"" ФІН ТА КРЕД""";"Ф""ЦРУ"" АТ""Б""ФІНАНСИ ТА КРЕДИТ""М.КИЇВ";25745867;м.Київ вул. Щорса, 31;529-75-26
302076;ФВінницьке обласне уАТОщад;ФВІННИЦЬКЕ ОБЛАСНЕ У АТОЩАД М.ВІННИЦЯ;09302607;м.Вінниця вул. Соборна, 71;71020
302247;"ВінницькаОДАТ""Райф.Б.Аваль""";"ВОД АТ""РАЙФФАЙЗЕН БАНК АВАЛЬ""М.ВІННИЦЯ";20097421;м.Вінниця вул. 50-річчя Перемоги, 35;520319
302333;"Вінницька ФПАТ""Укрінбанк""";"ВІННИЦЬКА ФПАТ""УКРІНБАНК"" М.ВІННИЦЯ";20098366;м.Вінниця вул. Пирогова, 7;520502
302429;Ф-я Укрексімбанк, Вінниця;Ф-Я АТ УКРЕКСІМБАНК, М.ВІННИЦЯ;24896705;м.Вінниця вул. Козицького, 51, корп. 1;55-04-55
302504;Упр. НБУ у Вінницькій обл.;УПРАВЛІННЯ НБУ У ВІННИЦЬКІЙ ОБЛАСТІ;09302501;м.Вінниця вул. Соборна, 36;
302548;"Перша ФПрАТ ""УФГ"",м.Вінниця";"Перша філія ПрАТ ""УФГ"" у м.Вінниця";26285388;м.Вінниця вул. Пирогова, 49;0432
302560;"Жмеринс. філ.АБ ""Експр-Банк";"ЖМЕРИНС. ФІЛ. АБ ""ЕКСПР-Б"", М.ЖМЕРИНКА";26339026;м.Жмеринка вул. Київська, 17;4 47 46
302593;"ФАТ ""УФГ"", м.Вінниця";"ФІЛІЯ АТ ""УФГ"", М.ВІННИЦЯ";2287440;м.Вінниця Хмельницьке шосе, 7;
302623;"Вінн.ФПАТ ""Кредитпромбанк""";"ФІЛІЯ ПАТ ""КРЕДИТПРОМБАНК"", М.ВІННИЦЯ";24898477;м.Вінниця вул. Івана Богуна, 2;52-03-21
302689;ВІННИЦЬКА Ф.ПАТКБПРИВАТБАНК;ВІННИЦЬКА Ф.ПАТ КБПРИВАТБАНК,М.ВІННИЦЯ;21724222;"м.Вінниця 21030,м.Вінниця,пр.Юності,43А;21036,вул.Хмельн.шос";52-00-26
303020;Упр. НБУ у Волинській обл.;УПРАВЛІННЯ НБУ У ВОЛИНСЬКІЙ ОБЛАСТІ;09303021;м.Луцьк вул. Градний узвіз, 4;8-03322-23505
303398;ФВолинське обласне уАТОщад;ФВОЛИНСЬКЕ ОБЛАСНЕ УПР АТОЩАД М.ЛУЦЬК;09303328;м.Луцьк вул. Червоного Хреста, 8;776160
