OKPOCode;name
24578086;"ТОВ ""Петрус""";
00151644;ДНДІ `ЕЛАСТИК`;
08680477;П-во Львівської виправної колонії N48;
20882249;"ООО ТПК ""ЛОРД""";
30969031;"ТОВ ""ТМСпецмаш""";
31109010;`ЧАРОСВІТ`ТОВ;
00158787;ТУРБОГАЗ, ОАО;
25142190;ТАВРИДА-ЭКО, ФИРМА;
25339389;ЧП ПИКЕТ;
14325705;"СП ""ІНТЕРХІМ"" ВАТ";
01896702;КИIВ.МЕД.АК.ПIСЛ.ОСВ.ШУПИКА;
00191129;ОТКРЫТОЕ АО МАР МЕТ КТ ИЛЬИ;
25253564;ЛВ УКР ДГРI;
02789434;ОСБ № 3292;
32126739;ТзОВ `НВП `Техноваги`;
05419732;Ворошиловське вiддiлення N 25 ОБ;
08680572;ПІДПР,ОВК 14 В ОДЕСЬКІЙ ОБЛАСТІ;
13697729;"ПП ""Патент-Хелп""";
31341901;"ТОВ "" Спецкран""";
13525715;ООО НПО `Инкор`;
02070826;Донецький нацiон.технiчний унiверситет;
09356307;ОПЕРВ Ощадбанк 1нш1 плат внесен1 гот1в;
19022122;ТОВ фірма `Семпал КО ЛТД`;
20494524;"КАЗЕННЕ КБ ""ІСКРА""";
31123695;"КОНЦЕРН ""НАДЕЖДА""";
24369810;"НПФ ""ПАТОН-ЕЛЕКТРОД""";
09351600;ХОУ ОБ;
30575383;ТОВ ОАЗіС ШіППіНГ іНТЕРНЕШЕНАЛ;
16478471;Інтеар ЛТД ТОВ НФ;
00382125;ЗАТ `Киiвська кондитерська ф-ка iм. К.;
31821381;"ДП НВКГ ""ЗОРЯ""-""МАШПРОЕКТ""";
23585747;"ЗАТ ""Дiавест+""";
23212839;КР.ЗАДОЛ.ПО ПЛ.Ф/Л БЕЗ.ДОГ.(7 КМ;
02071197;ХАРК.НАЦ.ТЕХН.УН-Т РАДIОЕЛЕКТРОНIКИ;
30493882;"ТОВ АВО ""Благо""";
23569547;Спеціальні кошти бюджетних установ;
04763746;"ВАТ ""БIОМЕДСКЛО""";
00412056;"ЗАТ ""ОД.КОНЬЯЧНИЙ ЗАВОД""";
31770165;МОЛОЧНЫЙ ДОМ ОБЩЕСТВО С ОГРАНИЧЕННОЙ О;
20191769;АГРОПРОМТЕХHИКА;
14309008;ОАО ФСК МОРЕ;
20941503;ЧП `ГРИН СТАР`;
00497006;Iнститут свинарства;
24377376;МПП ТРIОД;
32024310;"ТОВ ""НВП ""Екобінф-КС""";
09334180;Службовий pахунок;
23245945;Кошти спеціального фонду;
14305909;"ТВБВ ""ДКТ""";
24351773;"Смiла ФАППБ ""АВАЛЬ"" ВКО1";
05393043;ВАТ ДHIПРОВСЬКИЙ  МЕТК-Т;
00333888;"ВАТ ""ГОСТОМЕЛЬСЬКИЙ СКЛОЗАВОД""";
31941279;"ТОВ ""Компан?я ""?нтерАктив""";
05416923;IН-Т ЕЛЕКТPОЗВАPЮВАННЯ НАН УКРАЄНИ;
21567248;ТОВ ФIРМА ПП ФЕДОРОВА ТА ПАРТHЕРИ;
09351296;кред.заборг. за комун.платежами;
14360920;"АКБ ""Правекс-Банк""";
22683815;Харкiвська фiлiя;
24660391;"ТОВ ""ШАНГЛI УКРАIНА""";
23270759;"СП ТОВ ""ЕТРУС""";
02760382;КЛИЕНТ;
19155107;Мельница ООО;
21707100;К/ заб.за прийн. платеж.ТВБВ №4;
20053375;МЦ ел-пром.технолог.ІЕЗ ім.Є.О.Патона;
00218911;ДНЕПРОТЯЖБУММАШ ИМ.АРТЕМА ОАО;
05393151;ГОС.ИНСТ-Т НИГРИ;
23998857;АВТОМАТВУГЛЕРОДПРОМ, ОАО;
21636073;ТОВ ТАРАНУЩЕНКО І ПАРТНЕРИ;
25521987;Поликом, ООО НФК;
24433695;САЛЬВИА фирма ООО;
24893965;"Жмеринська редакцiя ""Обрiй"" м.Жмеринка";
13618822;"ПВКПФ "" Поліграф """;
20551707;ПЛАТЕЖІ ВІД НАСЕЛЕННЯ- Калуш 1;
00188311;ДЕРЖ. IНСТ-Т УКРДIПРОМЕЗ;
25828510;"ФАКБ ""НАЦ.КРЕДИТ"" В М.ОДЕСІ";
00194731;"КП "" ЗТМК """;
32108154;HДВАП МАК УКРАЇHИ У ВИГЛЯДI ТОВ;
24926972;"ООО""ГЕТЬМАН И Ко""";
14308479;АТ *ЛТАВА*;
02786306;Другие наличные платежи;
30211827;"ЗАТ""ТРАНСРОУД ГРУП""";
31035431;Деон-ТехнологіяТОВ;
19470004;ТОВ ОРТОПРОТ;
09336500;Облуправлiння Ощадбанку;
30523267;"ЗАТ ""Києвмлин""";
30875944;"ООО АГРОПРОМЫШЛЕННАЯ ФИРМА ""ЧАПАЕВЕЦ""";
23011182;"ООО ""ГОРСЕЙ""";
19352954;ГЕРАКС, ТОВ;
20303352;"ООО""ЗАВОД ПАВЛОГРАДСПЕЦМАШ""";
00209102;ДержНД1ТБХВ;
31632138;"УкрДНТЦ ""ЕНЕРГОСТАЛЬ""";
21721270;ВСЕУКР.АСОЦ.СПЕЦ.ПО ПРИКЛАД.ЕСТЕ;
02762530;Міське ВОБ № 6319 м.Львова Інші готівк;
21110655;"ТОВ КБ ""Стоїк""";
00378767;"ВАТ ""ПАЛЯНИЦЯ""";
02789248;Пролетарське вiддiлення ь5404;
19338351;ТАЙМ, ТОВ;
14099338;"ЧП ""Алькор-ФТ""";
00191046;"ОАО""СИЛУР""";
19495872;"ТОВ Фірма ""Сократ Лтд""";
22467342;"МПП""СИГНАЛ""";
01056333;ДПОМЗ;
30313344;ТОВ ПАТЕНТНЕ АГЕНСТВО ОМІ-ПАТ;
22800238;ЧФ АТ УКРIНБАНК;
19436711;"ТОВ ""ЕККОМ"" LTD";
22306946;"ЗАО""Телерадиокомп""Бытрадиотехника""";
31522725;"ТОВ ""Запорізьке патентне агентство""";
20120226;Розрахунки з клієнтами банку;
23756545;"НДВ ОКК НТК ""Iнститут монокристалiв""";
05510830;IН-Т ВЕТЕРИНАРНОЄ МЕДИЦИНИ;
22411703;"ЗАТ ФІРМА ""Т.С.Б.""";
02010936;НАЦ.ФАРМАКАДЕМIЯ УКРАЄНИ;
02011964;IН-Т ФТ.I ПУЛЬМ.IМ.ЯН.АМНУ;
22927714;"АФ ТОВ ""КИНГ""";
24083769;"ТОВ ""КЛЕН Л.Л.""";
05391057;ОБОЛОНЬ - ЗАТ;
02760494;Печерське від.№3715 ВАТ ДОБУ Київ;
26005242;Кред.заб. за прийн.плат. ОПЕРВ;
21139067;розрахунки з клiентами;
09313019;"ТВБВ 321 ЗОФ АКБ ""Укрсоцбанк""";
23957396;"ТзОВ ""ІСКРА-ОРАТАНІЯ""";
05417041;IН-ТаХIМIЄаВИСОКОМОЛЕК.СПОЛУКаНАНУаааа;
26209430;"ООО ""СТАЛЬКАНАТ""";
32073279;"ТОВ ""Юридична фірма ""Гелон""";
01136279;ДУIКТ;
24197094;"ЛОД АППБ ""АВАЛЬ"" ТОБО Новоайдар прием";
31088771;Інтеpнет Асоціація Укpаїни;
02070789;ДДМА м.Краматорськ;
00493706;НАУ;
05607824;"ВАТ ""РiвнеАЗОТ""";
25723254;В1дд1лення №6;
09334010;ДОНЕЦЬКА ОБЛФІЛІЯ АКБ УСБ;
02759462;БОГУНСЬКЕ ВОБ-75;
09322076;Подiльска фiл.УСБ у м.Києвi;
20680287;ПРИНЯТЫЕ ПЛАТЕЖИ /28, СИМФЕРОПОЛЬ/;
22907918;Платежи насел./ТВБВ 9 Кpещатик/.;
02760583;Шевченкiвське вiддiлення N 5441 ОБ;
31333288;АЛЬТЕРА, ТОВ;
21050723;"Платежи ф/л  КБ ""ПРИВАТБАНК""";
19260867;ТОВ ІННОТЕК К;
00209651;"ЗАТ ""ВНДІХІМПРОЕКТ""";
00152365;ОАО АЗМОЛ;
02762257;м.Дрогобич  ВОБ №6307;
09321438;ПРІЙНЯТІ ПЛАТЕЖІ БЕЗ ДОГОВОРІВ;
01730673;"ТОВ ""ПЛОСКIВСЬКИЙ ЗАВОД МIНВОД""";
24676593;"ТОВ НВП ""Екструдер""";
20748213;КОММУН.ПЛАТ.НАСЕЛ.ТОБО ГЕН.ПЕТРОВА 1;
09333401;Кред.заборг.за прийн.пл.Сбон ОПЕРВ;
00213434;ВАТ РЗВА;
31296770;КомпСИ ООО;
02762659;МИКОЛАЇВСЬКЕ ВОБ № 6533 інші готівкові;
00209740;"ДНДПІОХ ""НІОХІМ""";
00152135;"УНДКТІ ""ДІНТЕМ""";
02037622;"ЗАТ ""ЛЬВІВСЬКИЙ ІНСТИТУТ МЕНЕДЖМЕНТУ""";
32031019;"ТОВ ""Даліла""";
30607980;"ТОВ ""АЛЬФА-ГРУПА""";
05763599;ЗАО НКМЗ;
00292988;ВАТ IВАНО-ФРАНКIВСЬКЦЕМЕНТ;
09337014;ПЛАТЕЖI-IНШI ПЛАТЕЖI;
00114117;"ВАТ ""Укргидропроект""";
05417213;IН-ТаФХаIМ.аЛ.В.ПИСАРЖЕВСЬКОГОаНАНУааа;
19147823;Деон  Внедренческое МП ООО;
14369134;"ТзОВ СП ""Росан""";
04636841;ВГ ФIРМА РЕГIОH;
24202033;"УКР.-ИРЛАНД.СП ЗАО ""ПАРТНЕРЫ и К""";
25274980;ООО АЛЬБЕРТ-КИЕВГУМА;
03972689;ЯВIР,БРОДIВСЬКЕ МЕБЛЕВЕ ПIДПРИЕМСТВ;
05420735;iФОХтаВХ iм. Л.М.Литвиненко НАНУ;
24276480;Комінтернівське ТВБВ;
24671667;"ТВБВ КФС""Експобанк""";
31082518;"ТОВ ""ЗЛГЗ ""Златогор""";
02766367;Облуправління Ощадбанку;
21509937;ООО АГРОМАТ;
02759083;ПРАВОБЕРЕЖН.ОТДЕЛЕНИЕ 6719;
02841413;ОД ТРК;
02126811;"ВАТ ""УкрНДІП""";
02070743;НАЦIОНАЛЬНИЙ ГIРНИЧИЙ УНIВЕРСИТЕТ;
22778220;ГАЗЕТА ПОДIЛЬСКИЙ БАЗАР,ТОВ;
00191164;ДОНЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД ОАО;
22405648;ВIДКPИТЕ АКЦIОНЕPНЕ ТОВАPИСТВО ЗМIНА;
09351014;Транзитный счет банка;
30019801;"ДК ""УКРТРАНСГАЗ""";
14361032;ПЛАТЕЖІ ВІД НАСЕЛЕННЯ;
00158764;`УкрНДІгаз`;
30929127;"ТОВ ""Росавто""";
24945165;Кред.з-ть по принят.пл.ф.л.;
09805171;УКРЕКСІМБАНК, м.Львів;
09311279;Обласна фiлiя УСБ, м.Житомир;
02011798;УНДИ ПРОМЫШЛЕННОЙ МЕДИЦИНЫ;
02070890;КИЄВ.НАЦ.УНIВ.ТЕХН.ТАаДИЗАЙНУааааааааа;
02761766;Симферопольское городское отделение №3;
05417153;ФIЗИКО-ТЕХНОЛ.IН-ТаМЕТАЛ.IаСПЛАВIВаНАН;
09351451;"Ф.""ХАРКІВСЬКЕ ЦЕНТРАЛЬНЕ ВІД.ПІБ""";
25959784;"ЗАТ ""КОМЕРЦІЙНИЙ БАНК НРБ-УКРАЇНА""";
24075913;"ДНІПРОВСЬКА ФВАТ ""МКБ"", М.КИЇВ";
09334464;"Ф.""ЦЕНТР-МІСЬКЕ ВІД.ПІБ В М.ГОРЛІВКА""";
24262621;УДК У М.КИЇВІ;
09334441;"Ф.""ІЛЛІЧІВ.ГОЛ. ВІД.ПІБ В М.МАРІУПОЛЬ""";
23213460;УПРАВЛІННЯ ДК У ОДЕСЬКІЙ ОБЛАСТІ;
