code;shortName;name;fullName
01;ДП;Державне підприємство;Державне підприємство
02;ДКП;Державне комунальне (муніципальне) підприємство;Державне комунальне (муніципальне) підприємство
03;КП;Колективне підприємство;Колективне підприємство
04;КООП;Кооперативне підприємство;Кооперативне підприємство
05;ОП;Орендне підприємство;Орендне підприємство
06;СФП;Селянське (фермерне) підприємство;Селянське (фермерне) підприємство
07;СТ;Споживче товариство;Споживче товариство
18;ФОП;Фізична особа-підприємець (без створення юридичної);Фізична особа-підприємець (без створення юридичної)
19;ІП;Іноземне підр.,що має право госп. діяльн. на тер. України;Іноземне підр.,що має право госп. діяльн. на території України
20;АТВТ;Акціонерне товариство відкритого типу (ВАТ);Акціонерне товариство відкритого типу (ВАТ)
21;АТЗТ;Акціонерне товариство закритого типу;Акціонерне товариство закритого типу
22;ТОВ;Товариство з обмеженою відповідальністю (ТОВ);Товариство з обмеженою відповідальністю (ТОВ)
23;ТДО;Товариство з додатковою відповідальністю;Товариство з додатковою відповідальністю
24;ТП;Товариство повне;Товариство повне
25;ТК;Товариство командитне;Товариство командитне
26;ОРГ;Організація (не займається підпр. діяльн.);Організація (не займається підпр. діяльн.)
27;ЗАКЛ;Заклад (не займається підпр. діяльн.);Заклад (не займається підпр. діяльн.)
28;УСТ;Установа (не займається підпр. діяльн.);Установа (не займається підпр. діяльн.)
29;ГО;Громадські обєднання,що включають як фіз. так і юр. осіб;Громадські обєднання,що включають як фіз. так і юр. осіб
30;РО;Релігійні організації та установи;Релігійні організації та установи
31;ДИП;Дипломатичне або прирівнене до нього представництв;Дипломатичне або прирівнене до нього представництв
32;Ф;Філія;Філія
33;П;Представництво;Представництво
34;ФІЗ;Фізична особа;Фізична особа
