code,regionType,name,fullName
"region_null",REGION,Не визначено,Не визначено
"0001",REGION,АР КРИМ,АР КРИМ
"0002",REGION,Вінницька обл.,Вінницька область
"0003",REGION,Волинська обл.,Волинська обл.
"0004",REGION,Дніпропетровська обл.,Дніпропетровська обл.
"0005",REGION,Донецька обл.,Донецька обл.
"0006",REGION,Житомирська обл.,Житомирська обл.
"0007",REGION,Закарпатська обл.,Закарпатська обл.
"0008",REGION,Запорізька обл.,Запорізька обл.
"0009",REGION,Івано-Франківська обл,Івано-Франківська обл
"0010",REGION,Київська обл.,Київська обл.
"0011",REGION,м. Київ,м. Київ
"0012",REGION,Кіровоградська обл.,Кіровоградська обл.
"0013",REGION,Луганська обл.,Луганська обл.
"0014",REGION,Львівська обл.,Львівська обл.
"0015",REGION,Миколаївська обл.,Миколаївська обл.
"0016",REGION,Одеська обл.,Одеська обл.
"0017",REGION,Полтавська обл.,Полтавська обл.
"0018",REGION,Рівненська обл.,Рівненська обл.
"0019",REGION,Сумська обл.,Сумська обл.
"0020",REGION,Тернопільська обл.,Тернопільська обл.
"0021",REGION,Харківська обл.,Харківська обл.
"0022",REGION,Херсонська обл.,Херсонська обл.
"0023",REGION,Хмельницька обл.,Хмельницька обл.
"0024",REGION,Черкаська обл.,Черкаська обл.
"0025",REGION,Чернівецька обл.,Чернівецька обл.
"0026",REGION,Чернігівська обл.,Чернігівська обл.
"0027",REGION,м. Севастопіль,м. Севастопіль
