name;fullName;intCode;symbol2;symbol3
Австралія;Австралія;36;AU;AUS
Австрія;Австрія;40;AT;AUT
Азербайджан;Азербайджан;31;AZ;AZB
Аландські острови;Аландські острови;248;AX;ALA
Албанія;Албанія;8;AL;ALB
Алжир;Алжир;12;DZ;DZA
Американське Самоа;Американське Самоа;16;AS;ASM
Ангілья (Брит.);Ангілья (Брит.);660;AI;AIA
Ангола;Ангола;24;AO;AGO
Андорра;Андорра;20;AD;AND
Антарктика;Антарктика;10;AQ;ATA
Антигуа і Барбуда;Антигуа і Барбуда;28;AG;ATG
Антільські Острови;Антільські Острови;530;AN;ANT
Аргентина;Аргентина;32;AR;ARG
Аруба;Аруба;533;AW;ABW
Афганістан;Афганістан;4;AF;AFG
Багамські Острови;Багамські Острови;44;BS;BAS
Бангладеш;Бангладеш;50;BD;BGD
Барбадос;Барбадос;52;BB;BRB
Бахрейн;Бахрейн;48;BH;BHR
Беліз;Беліз;84;BZ;BLZ
Бельгія;Бельгія;56;BE;BEL
Бенін;Бенін;204;BJ;BEN
Бермудські Острови;Бермудські Острови;60;BM;BMU
Білорусь;Білорусь;112;BY;BLR
Болгарія;Болгарія;100;BG;BGR
Болівія;Болівія;68;BO;BOL
Бонайре, Сінт-Естатіус і Саба;Бонайре, Сінт-Естатіус і Саба;535;BQ;BES
Боснія і Герцеговина;Боснія і Герцеговина;70;BA;BIH
Ботсвана;Ботсвана;72;BW;BOT
Бразилія;Бразилія;76;BR;BRA
Британська територія в Індійському океані;Британська територія в Індійському океані;86;IO;IOT
Бруней-Даруссалам;Бруней-Даруссалам;96;BN;BRN
Буркіна Фасо;Буркіна Фасо;854;BF;BFA
Бурунді;Бурунді;108;BI;BDI
Бутан;Бутан;64;BT;BTN
Вануату;Вануату;548;VU;VUT
Ватикан;Ватикан;336;VA;VAT
Великобританія;Великобританія;826;GB;GBR
Венесуела;Венесуела;862;VE;VEN
В''єтнам;В''єтнам;704;VN;VNM
Віргінські Острови (Бр.);Віргінські Острови (Бр.);92;VG;VGB
Віргінські Острови (США);Віргінські Острови (США);850;VI;VIR
Вірменія;Вірменія;51;AM;ARM
Габон;Габон;266;GA;GAB
Гаїті;Гаїті;332;HT;HTI
Гайана;Гайана;328;GY;GUY
Гамбія;Гамбія;270;GM;GMB
Гана;Гана;288;GH;GHA
Гваделупа;Гваделупа;312;GP;GLP
Гватемала;Гватемала;320;GT;GTM
Гвіана (Фр.);Гвіана (Фр.);254;GF;GUF
Гвінея;Гвінея;324;GN;GIN
Гвінея-Бісау;Гвінея-Бісау;624;GW;GNB
Гернсі;Гернсі;831;GG;GGY
Гібралтар;Гібралтар;292;GI;GIB
Гондурас;Гондурас;340;HN;HND
Гонконг;Гонконг;344;HK;HNK
Гренада;Гренада;308;GD;GRD
Гренландія;Гренландія;304;GL;GRL
Греція;Греція;300;GR;GRC
Грузія;Грузія;268;GE;GEO
Гуам (США);Гуам (США);316;GU;GUM
Данія;Данія;208;DK;DNK
Джерсі;Джерсі;832;JE;JEY
Джибуті;Джибуті;262;DJ;DJI
Джонстон (атол);Джонстон (атол);396;JT;JTN
Домініканська Республіка;Домініканська Республіка;214;DO;DOM
Домініка;Домініка;212;DM;DMA
Екваторіальна Гвінея;Екваторіальна Гвінея;226;GQ;GNQ
Еквадор;Еквадор;218;EC;ECU
Ерітрея;Ерітрея;232;ER;ERI
Естонія;Естонія;233;EE;EST
Ефіопія;Ефіопія;230;ET;ETH
Єгипет;Єгипет;818;EG;EGY
Ємен;Ємен;886;YE;YEM
Замбія;Замбія;894;ZM;ZMB
Західна Сахара;Західна Сахара;732;EN;ESH
Зімбабве;Зімбабве;716;ZW;ZWE
Ізраїль;Ізраїль;376;IL;ISL
Індія;Індія;356;IN;IND
Індонезія;Індонезія;360;ID;IDN
Ірак;Ірак;368;IQ;IRQ
Іран;Іран;364;IR;IRN
Ірландія;Ірландія;372;IE;IRL
Ісландія;Ісландія;352;IS;IS
Іспанія;Іспанія;724;ES;ESP
Італія;Італія;380;IT;ITA
Йорданія;Йорданія;400;JO;JOR
Кабо-Верде;Кабо-Верде;132;CV;CPV
Казахстан;Казахстан;398;KZ;KAZ
Кайманові Острови;Кайманові Острови;136;KY;CYM
Камбоджа;Камбоджа;116;KH;KHM
Камерун;Камерун;120;CM;CMR
Канада;Канада;124;CA;CAN
Катар;Катар;634;QA;QAT
Кенія;Кенія;404;KE;KEN
Киргизстан;Киргизстан;417;KG;KGZ
Китай;Китай;156;CN;CHN
Кіпр;Кіпр;196;CY;CYP
Кірібаті;Кірібаті;296;KI;KIR
КНДР;КНДР;408;KP;PRK
Кокосові Острови;Кокосові Острови;166;CC;CCK
Колумбія;Колумбія;170;CO;COL
Коморські Острови;Коморські Острови;174;KM;COM
Конго;Конго;178;CG;COG
Демократична Республіка Конго;Демократична Республіка Конго;180;CD;COD
Корея;Корея;410;KR;KOR
Коста-Ріка;Коста-Ріка;188;CR;CRI
Кот-д''Івуар;Кот-д''Івуар;384;CI;CIV
Куба;Куба;192;CU;CUB
Кувейт;Кувейт;414;KW;KWT
Кука Острови;Кука Острови;184;CK;COK
Кюрасао;Кюрасао;531;CW;CUW
Лаос;Лаос;418;LA;LAO
Латвія;Латвія;428;LV;LVA
Лесото;Лесото;426;LS;LSO
Литва;Литва;440;LT;LTU
Ліберія;Ліберія;430;LR;LBR
Ліван;Ліван;422;LB;LBN
Лівія;Лівія;434;LY;LBY
Ліхтенштейн;Ліхтенштейн;438;LI;LIE
Люксембург;Люксембург;442;LU;LUX
Маврікій;Маврікій;480;MU;MUS
Маврітанія;Маврітанія;478;MR;MRT
Мадагаскар;Мадагаскар;450;MG;MDG
Майотта;Майотта;175;YT;MYT
Макао;Макао;446;MO;MAK
Македонія;Македонія;807;MK;MKD
Малаві;Малаві;454;MW;MWI
Малайзія;Малайзія;458;MY;MYS
Зовнішні малі острови США;Зовнішні малі острови США;581;UM;UMI
Малі;Малі;466;ML;MLI
Мальдіви;Мальдіви;462;MV;MDV
Мальта;Мальта;470;MT;MLT
Маріанські Острови;Маріанські Острови;580;MP;MNP
Марокко;Марокко;504;MA;MAR
Мартініка;Мартініка;474;MQ;MTQ
Маршалови Острови;Маршалови Острови;584;MH;MHL
Мексика;Мексика;484;MX;MEX
Острів Мен;Острів Мен;833;IM;IMY
Мідвей (атол);Мідвей (атол);488;MI;MID
Мікронезія;Мікронезія;583;FM;FSM
Мозамбік;Мозамбік;508;MZ;MOZ
Молдова;Молдова;498;MD;MDA
Монако;Монако;492;MC;MCO
Монголія;Монголія;496;MN;MNG
Монсеррат;Монсеррат;500;MS;MSR
М''янма;М''янма;104;MM;MMR
Намібія;Намібія;516;NA;NAM
Науру;Науру;520;NR;NRU
Непал;Непал;524;NP;NPL
Нігер;Нігер;562;NE;NER
Нігерія;Нігерія;566;NG;NGA
Нідерланди;Нідерланди;528;NL;NLD
Нікарагуа;Нікарагуа;558;NI;NIC
Німеччина;Німеччина;276;DE;DEU
Ніуе;Ніуе;570;NU;NIU
Нова Зеландія;Нова Зеландія;554;NZ;NZL
Нова Каледонія;Нова Каледонія;540;NC;NCL
Норвегія;Норвегія;578;NO;NOR
Норфолк, Острів;Норфолк, Острів;574;NF;NFK
Об''єднані Арабські Емірати;Об''єднані Арабські Емірати;784;AE;ARE
Оман;Оман;512;OM;OMN
Острів Буве́;Острів Буве́;74;BV;BVT
Острови Герд і Макдональд;Острови Герд і Макдональд;334;XM;XMD
Острів Різдва;Острів Різдва;162;CX;CXR
Пакістан;Пакістан;586;PK;PAK
Палау (США);Палау (США);585;PW;PLW
Палестина;Палестина;275;PS;PSE
Панама;Панама;591;PA;PAN
Папуа-Нова Гвінея;Папуа-Нова Гвінея;598;PG;PNG
Південно-Африканська Республіка;Південно-Африканська Республіка;710;ZA;ZAF
Парагвай;Парагвай;600;PY;PRY
Перу;Перу;604;PE;PER
Південна Джорджія;Південна Джорджія;239;GS;SGS
Південний Судан;Південний Судан;728;SS;SSD
Піткерн (Брит.);Піткерн (Брит.);612;PN;PCN
Польща;Польща;616;PL;POL
Португалія;Португалія;620;PT;PRT
Пуерто-Ріко;Пуерто-Ріко;630;PR;PRI
Реюньйон;Реюньйон;638;RE;REU
Росія;Росія;643;RU;RUS
Руанда;Руанда;646;RW;RWA
Румунія;Румунія;642;RO;ROM
Сент-Кіттс і Невіс;Сент-Кіттс і Невіс;659;KN;KNA
Сен-П'єр і Мікелон;Сен-П'єр і Мікелон;666;PM;SPM
Сальвадор;Сальвадор;222;SV;SLV
Самоа (Західне);Самоа (Західне);882;WS;WSM
